bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
0,"database, data, type, relation, attribute, transaction, department, query, disk, record",3,Querying Relational Databases,0.3882542310999426
1,"plan, optimization, cost, optimizer, query, query optimization, estimate, evaluation, heuristic, evaluation plan",3,Querying Relational Databases,0.6334777949759349
2,"index, secondary index, secondary, search, clustering index, clustering, primary index, field, dense, file",23,Database Constraints and Triggers,0.23467448190965207
3,"partitioning, partition, hash, partitioned, hash join, skew, processor, range partitioning, range, join",28,Database Scalability and Partitioning,0.5773619898728036
4,"bucket, hash, hashing, hash function, bucket address, overflow, hash value, record bucket, extendable, bucket record",0,Introduction to Database Management Systems,0.0
5,"lock, item, data item, request, lock data, lock data item, lock item, locking, locked, transaction",5,Transaction Management and ACID Properties,0.44045869309955543
6,"dbms, interface, ibm, application, software, user interface, tool, database, system, user",28,Database Scalability and Partitioning,0.2728477103314845
7,"node, leaf, tree, leaf node, root, entry, pointer, split, parent, child",0,Introduction to Database Management Systems,0.0
8,"tuples, tuple, number tuples, tuples relation, set tuples, duplicate tuples, tuples tuples, tuple relation, duplicate, copy tuple",0,Introduction to Database Management Systems,0.0
9,"conceptual, schema, design, conceptual schema, requirement, phase, database design, schema design, data model, designer",2,Database Design and Normalization,0.28551224789663504
10,"agrawal, srinivasan comp, srinivasan, chakrabarti, silberschatz, chamberlin, jennifer narayan ramesh, franklin wallace jennifer, jennifer narayan, wallace jennifer",0,Introduction to Database Management Systems,0.0
11,"join, outer join, outer, natural join, natural, join condition, join operation, condition, left, tuples",0,Introduction to Database Management Systems,0.0
12,"temporal, time, valid, valid time, temporal database, date time, interval, time slot, date, unsigned",10,Time-Series and Geospatial Databases,0.45464751561838507
13,"spatial, map, geographic, spatial data, geographic data, location, spatial database, road, restaurant, raster",31,Geospatial and Temporal Databases,0.4033896183215632
14,"aggregate, aggregate function, group, aggregation, count, grouping, function, sum, group clause, aggregation operation",0,Introduction to Database Management Systems,0.0
15,"calculus, relational calculus, algebra, relational algebra, relational, tuple relational, tuple relational calculus, domain relational calculus, domain relational, domain",1,Relational Database Model,0.33025381697646117
16,"image, multimedia, video, audio, multimedia database, multimedia source, audio data, clip, multimedia data, recognition",29,Data Quality Assurance and Data Cleansing,0.46322835347539465
17,"trigger, event, rule, active, action, triggering, active rule, statement level, time slot, trigger trigger",10,Time-Series and Geospatial Databases,0.5318140491775498
18,"schedule, serializable, serializability, serial, serial schedule, conflict, equivalent serial schedule, equivalent serial, serializable schedule, equivalent",0,Introduction to Database Management Systems,0.0
19,"undo, log, log record, undolist, redo, record, undo operation, abort, physical log, transaction undolist",14,Database Auditing and Logging,0.2866998701656661
20,"encryption, encrypted, public, decryption, key, public key, private key, private, key encryption, encryption key",16,Data Compression and Encryption,0.39311002490448843
21,"replication, replica, replicated, subscriber, site, replica data, update, update replica, replica data item, propagated",27,Distributed Databases and Replication,0.488240804304106
22,"materialized, materialized view, view, view maintenance, maintenance, view materialized, index materialized, index materialized view, index view, view materialized view",0,Introduction to Database Management Systems,0.0
23,"bitmap, bitmap index, bit, index, bit bitmap, complement, bitmap value, intersection, row, rowids",0,Introduction to Database Management Systems,0.0
24,"distributed database, distributed, autonomy, federated, heterogeneous, chapter distributed database, chapter distributed, centralized, federated database, ddbms",27,Distributed Databases and Replication,0.7050157185173827
25,"bibliographical, bibliographical note, note, reference, note reference, bibliographical note reference, bibliographic, bibliographic note, article, bibliographical note bibliographical",0,Introduction to Database Management Systems,0.0
26,"deadlock, detection, deadlock detection, prevention, deadlock prevention, deadlock deadlock, wait, waiting, deadlock occur, deadlock handling",31,Geospatial and Temporal Databases,0.26779692662706656
27,"xml, xml data, xml document, native, document, exchange, native xml, storage xml, representation, data xml",18,NoSQL Databases: Document Stores,0.3100648185843102
28,"data model, model, object, object database, object oriented, oriented, relational, object relational, objectoriented, database system",13,Multi-Model Databases,0.4513945329174849
29,"bcnf, decomposition, schema bcnf, relation bcnf, bcnf decomposition, dependency, normal form, normal, bcnf relation, bcnf design",2,Database Design and Normalization,0.2644049708524755
30,"security, label, access control, policy, control, label security, flow, access, row, mandatory",7,Database Security and Access Control,0.4964212770821539
31,"salary, salary instructor, instructor, instructor salary, dept, avg, avg salary, salary salary, dept total, salary greater",0,Introduction to Database Management Systems,0.0
32,"dependency, functional dependency, functional, multivalued dependency, multivalued, dependency functional, dependency functional dependency, set functional, set functional dependency, functional dependency functional",0,Introduction to Database Management Systems,0.0
33,"xsd, xsd element, xml, xml schema, element, type xsd, xsd string, type xsd string, xsd string xsd, string xsd",25,Database Migration and Schema Evolution,0.3176423806549445
34,"predicate, datalog, rule, interpretation, prolog, superior, fact, inference mechanism, inference, theoretic",0,Introduction to Database Management Systems,0.0
35,"privilege, grant, revoke, authorization, granted, account, grant option, grant privilege, revoking, revoking privilege",7,Database Security and Access Control,0.0965342640408357
36,"foreign key, foreign, key, primary key, primary, foreignkey, foreignkey constraint, key foreign, key foreign key, referencing",23,Database Constraints and Triggers,0.3353646344058093
37,"figure, example figure, figure example figure, figure example, example figure example, shown figure, shown, appears figure, line figure, figure show",0,Introduction to Database Management Systems,0.0
38,"reada, read, readb, writeq, writea, reada writea, readb writeb, writeb, readq, read value",0,Introduction to Database Management Systems,0.0
39,"concurrency, concurrency control, control, control recovery, concurrency control recovery, recovery, concurrency control distributed, control distributed, goodman, concurrency control method",7,Database Security and Access Control,0.2630418827102281
40,"transaction processing, processing, transaction, concept transaction, concept, transaction management, transaction processing concept, processing concept, concept theory, introduction transaction",5,Transaction Management and ACID Properties,0.3620735607885907
41,"snapshot, snapshot isolation, isolation, mvcc, postgresql, isolation level, snapshotdata, transaction, version snapshot, us snapshot",5,Transaction Management and ACID Properties,0.22482806116538295
42,"warehouse, data warehouse, data, source, warehouse data, warehouse provide, data warehouse provide, multiple source, data warehouse data, data data warehouse",29,Data Quality Assurance and Data Cleansing,0.5222407697060649
43,"html, javascript, jsp, browser, scripting, code, input, scripting language, html code, tag",1,Relational Database Model,0.10078874713503898
44,"project, employee, employee work, name employee, work project, work, employee work project, retrieve, list name, name",3,Querying Relational Databases,0.10098722091470684
45,"popularity, page, pagerank, ranking, link, web page, popularity ranking, spamming, search engine, hub",0,Introduction to Database Management Systems,0.0
46,"log, stable storage, stable, log record, output stable, output stable storage, output, logging, storage, writeahead",14,Database Auditing and Logging,0.22781952857576365
47,"integrity, integrity constraint, constraint, referential integrity, referential, referential integrity constraint, constraint specified, integrity constraint specified, specified, constraint database",2,Database Design and Normalization,0.3276935305161084
48,"account, balance, bank, fund, transaction transfer, account balance, transfer, transfer account, account account, withdrawal",5,Transaction Management and ACID Properties,0.12847317780879025
49,"order, sorting, sort, sorted, sort order, order clause, reorder, item, orow, ordering",0,Introduction to Database Management Systems,0.0
50,"persistent, persistent object, object, transient, persistent pointer, pointer, object persistent, persistence, transient object, inmemory",0,Introduction to Database Management Systems,0.0
51,"message, messaging, conversation, queue, persistent messaging, persistent, durable, durable queue, sql server, conversation group",3,Querying Relational Databases,0.3612204563363911
52,"salary, average salary, employee, average, salary employee, salary department, department, employee salary, maximum salary, total salary",0,Introduction to Database Management Systems,0.0
53,"subqueries, subquery, nested, nested subqueries, nested query, correlated, nested subquery, outer query, temporary, temporary relation",3,Querying Relational Databases,0.5790822707065071
54,"mining, data mining, pattern, chapter data, data warehousing, warehousing, data warehousing mining, warehousing mining, mining tool, discovery",20,Data Mining and Knowledge Discovery,0.38759238171770827
55,"advisor, student, instructor student, set advisor, relationship set, relationship set advisor, advisor relationship, instructor, relationship, student project",6,Data Modeling and ER Diagrams,0.09922481925090243
56,"join order, join, order, access path, join method access, join tree, join method, leftdeep join, method access, leftdeep",7,Database Security and Access Control,0.2589695304496456
57,"length, byte, fixed length, variablelength, variable length, fixed, length record, length field, character, record",0,Introduction to Database Management Systems,0.0
58,"raid, raid level, level, mirroring, disk, raid raid, reliability, redundant, disk raid, file file file",5,Transaction Management and ACID Properties,0.3632941388438246
59,"tape, magnetic, magnetic tape, drive, tape drive, optical, jukebox, optical disk, backup, storage",24,Data Backup and Recovery Strategies,0.4927862541276878
60,"weak entity, weak, weak entity set, entity, entity set, weak entity type, identifying, identifying relationship, entity type, strong entity",6,Data Modeling and ER Diagrams,0.11226006808691615
61,"twophase locking, twophase, locking, locking protocol, twophase locking protocol, protocol, lock, rigorous, strict, strict twophase locking",0,Introduction to Database Management Systems,0.0
62,"query tree, transformation, tree, rewrite, query, select operation, rule, transformed, heuristic, query transformation",3,Querying Relational Databases,0.4491416733790231
63,"node, lock, mode, locked, lock node, exclusive, node locked, exclusive mode, parent, root",0,Introduction to Database Management Systems,0.0
64,"cluster, clustering, distance, clustering algorithm, centroid, radius, birch, cluster record, hierarchical clustering, algorithm",0,Introduction to Database Management Systems,0.0
65,"precedence, precedence graph, graph, edge, cycle, graph schedule, precedence graph schedule, schedule, edge precedence, edge precedence graph",13,Multi-Model Databases,0.09026539242002347
66,"section section, section section section, section, section saw, saw, section section saw, saw section section, section saw section, section seen section, section seen",0,Introduction to Database Management Systems,0.0
67,"atomicity, durability, consistency, property, atomicity durability, transaction atomicity, database consistency, consistent, atomicity property, durability property",5,Transaction Management and ACID Properties,0.3294703578333655
68,"employee, department, worksfor, department employee, employee department, employee work, foreign key, foreign, relationship, relationship type",23,Database Constraints and Triggers,0.1855687939726166
69,"coordinator, site, ready, new coordinator, message, failed, coordinator fails, ready message, abort, participant",0,Introduction to Database Management Systems,0.0
70,"ontology, semantic, knowledge, concept, knowledge representation, synonym, semantic web, semantic data, wordnet, terminology",20,Data Mining and Knowledge Discovery,0.33497573393335506
71,"uml, diagram, uml class diagram, uml class, class diagram, uml diagram, notation, modeling, class, diagram uml",6,Data Modeling and ER Diagrams,0.3968992770036097
72,"node, searchkey value, searchkey, pointer, leaf, search key, leaf node, search, node searchkey, value",0,Introduction to Database Management Systems,0.0
73,"client, client server, tier, architecture, server, client server architecture, server architecture, tier client server, tier client, machine",0,Introduction to Database Management Systems,0.41580763880846267
74,"aborted, abort, transaction aborted, transaction, failure, abort transaction, subtransaction, transaction abort, error, committed aborted",5,Transaction Management and ACID Properties,0.4062678601155774
75,"union, intersection, union intersection, operation union, set difference, compatible, union compatible, set operation, difference, union operation",0,Introduction to Database Management Systems,0.0
76,"parallel, parallel database, parallel database system, architecture, database system, parallel architecture, system, machine, architecture database, teradata",0,Introduction to Database Management Systems,0.32253637239103633
77,"relation schema, schema, set relation, set relation schema, relation, relational schema, design, schema containing attribute, schema containing, relational",25,Database Migration and Schema Evolution,0.30253873610789184
78,"flight, seat, reservation, airline, airport, traveler, seat selection, flight number, city, airline reservation",0,Introduction to Database Management Systems,0.0
79,"domain, atomic, domain attribute, atomic domain, attribute atomic, domain atomic, attribute domain, value domain, nonatomic, attribute atomic domain",0,Introduction to Database Management Systems,0.0
80,"semistructured, unstructured, structured, unstructured data, semistructured data, extraction, information extraction, document, structured data, structured semistructured",12,Data Migration and ETL Processes,0.34585564278111774
81,"algorithm, algorithm figure, apply algorithm, algorithm apply, algorithm apply algorithm, compute, pseudocode, algorithm work, applying algorithm, applying algorithm apply",0,Introduction to Database Management Systems,0.0
82,"insertion, deletion, insertion deletion, insert, delete, select statement, rejected, delete operation, need consider, straightforward",32,Database Archiving and Data Retention,0.09874704257354651
83,"composite, multivalued, composite attribute, multivalued attribute, attribute, attribute composite, single valued, derived attribute, composite multivalued, component attribute",13,Multi-Model Databases,0.09026539242002347
