Bucket Number,Bucket
-1,"database, data, type, relation, attribute, transaction, department, query, disk, record"
0,"plan, optimization, cost, optimizer, query, query optimization, estimate, evaluation, heuristic, evaluation plan"
1,"index, secondary index, secondary, search, clustering index, clustering, primary index, field, dense, file"
2,"partitioning, partition, hash, partitioned, hash join, skew, processor, range partitioning, range, join"
3,"bucket, hash, hashing, hash function, bucket address, overflow, hash value, record bucket, extendable, bucket record"
4,"lock, item, data item, request, lock data, lock data item, lock item, locking, locked, transaction"
5,"dbms, interface, ibm, application, software, user interface, tool, database, system, user"
6,"node, leaf, tree, leaf node, root, entry, pointer, split, parent, child"
7,"tuples, tuple, number tuples, tuples relation, set tuples, duplicate tuples, tuples tuples, tuple relation, duplicate, copy tuple"
8,"conceptual, schema, design, conceptual schema, requirement, phase, database design, schema design, data model, designer"
9,"agrawal, srinivasan comp, srinivasan, chakrabarti, silberschatz, chamberlin, jennifer narayan ramesh, franklin wallace jennifer, jennifer narayan, wallace jennifer"
10,"join, outer join, outer, natural join, natural, join condition, join operation, condition, left, tuples"
11,"temporal, time, valid, valid time, temporal database, date time, interval, time slot, date, unsigned"
12,"spatial, map, geographic, spatial data, geographic data, location, spatial database, road, restaurant, raster"
13,"aggregate, aggregate function, group, aggregation, count, grouping, function, sum, group clause, aggregation operation"
14,"calculus, relational calculus, algebra, relational algebra, relational, tuple relational, tuple relational calculus, domain relational calculus, domain relational, domain"
15,"image, multimedia, video, audio, multimedia database, multimedia source, audio data, clip, multimedia data, recognition"
16,"trigger, event, rule, active, action, triggering, active rule, statement level, time slot, trigger trigger"
17,"schedule, serializable, serializability, serial, serial schedule, conflict, equivalent serial schedule, equivalent serial, serializable schedule, equivalent"
18,"undo, log, log record, undolist, redo, record, undo operation, abort, physical log, transaction undolist"
19,"encryption, encrypted, public, decryption, key, public key, private key, private, key encryption, encryption key"
20,"replication, replica, replicated, subscriber, site, replica data, update, update replica, replica data item, propagated"
21,"materialized, materialized view, view, view maintenance, maintenance, view materialized, index materialized, index materialized view, index view, view materialized view"
22,"bitmap, bitmap index, bit, index, bit bitmap, complement, bitmap value, intersection, row, rowids"
23,"distributed database, distributed, autonomy, federated, heterogeneous, chapter distributed database, chapter distributed, centralized, federated database, ddbms"
24,"bibliographical, bibliographical note, note, reference, note reference, bibliographical note reference, bibliographic, bibliographic note, article, bibliographical note bibliographical"
25,"deadlock, detection, deadlock detection, prevention, deadlock prevention, deadlock deadlock, wait, waiting, deadlock occur, deadlock handling"
26,"xml, xml data, xml document, native, document, exchange, native xml, storage xml, representation, data xml"
27,"data model, model, object, object database, object oriented, oriented, relational, object relational, objectoriented, database system"
28,"bcnf, decomposition, schema bcnf, relation bcnf, bcnf decomposition, dependency, normal form, normal, bcnf relation, bcnf design"
29,"security, label, access control, policy, control, label security, flow, access, row, mandatory"
30,"salary, salary instructor, instructor, instructor salary, dept, avg, avg salary, salary salary, dept total, salary greater"
31,"dependency, functional dependency, functional, multivalued dependency, multivalued, dependency functional, dependency functional dependency, set functional, set functional dependency, functional dependency functional"
32,"xsd, xsd element, xml, xml schema, element, type xsd, xsd string, type xsd string, xsd string xsd, string xsd"
33,"predicate, datalog, rule, interpretation, prolog, superior, fact, inference mechanism, inference, theoretic"
34,"privilege, grant, revoke, authorization, granted, account, grant option, grant privilege, revoking, revoking privilege"
35,"foreign key, foreign, key, primary key, primary, foreignkey, foreignkey constraint, key foreign, key foreign key, referencing"
36,"figure, example figure, figure example figure, figure example, example figure example, shown figure, shown, appears figure, line figure, figure show"
37,"reada, read, readb, writeq, writea, reada writea, readb writeb, writeb, readq, read value"
38,"concurrency, concurrency control, control, control recovery, concurrency control recovery, recovery, concurrency control distributed, control distributed, goodman, concurrency control method"
39,"transaction processing, processing, transaction, concept transaction, concept, transaction management, transaction processing concept, processing concept, concept theory, introduction transaction"
40,"snapshot, snapshot isolation, isolation, mvcc, postgresql, isolation level, snapshotdata, transaction, version snapshot, us snapshot"
41,"warehouse, data warehouse, data, source, warehouse data, warehouse provide, data warehouse provide, multiple source, data warehouse data, data data warehouse"
42,"html, javascript, jsp, browser, scripting, code, input, scripting language, html code, tag"
43,"project, employee, employee work, name employee, work project, work, employee work project, retrieve, list name, name"
44,"popularity, page, pagerank, ranking, link, web page, popularity ranking, spamming, search engine, hub"
45,"log, stable storage, stable, log record, output stable, output stable storage, output, logging, storage, writeahead"
46,"integrity, integrity constraint, constraint, referential integrity, referential, referential integrity constraint, constraint specified, integrity constraint specified, specified, constraint database"
47,"account, balance, bank, fund, transaction transfer, account balance, transfer, transfer account, account account, withdrawal"
48,"order, sorting, sort, sorted, sort order, order clause, reorder, item, orow, ordering"
49,"persistent, persistent object, object, transient, persistent pointer, pointer, object persistent, persistence, transient object, inmemory"
50,"message, messaging, conversation, queue, persistent messaging, persistent, durable, durable queue, sql server, conversation group"
51,"salary, average salary, employee, average, salary employee, salary department, department, employee salary, maximum salary, total salary"
52,"subqueries, subquery, nested, nested subqueries, nested query, correlated, nested subquery, outer query, temporary, temporary relation"
53,"mining, data mining, pattern, chapter data, data warehousing, warehousing, data warehousing mining, warehousing mining, mining tool, discovery"
54,"advisor, student, instructor student, set advisor, relationship set, relationship set advisor, advisor relationship, instructor, relationship, student project"
55,"join order, join, order, access path, join method access, join tree, join method, leftdeep join, method access, leftdeep"
56,"length, byte, fixed length, variablelength, variable length, fixed, length record, length field, character, record"
57,"raid, raid level, level, mirroring, disk, raid raid, reliability, redundant, disk raid, file file file"
58,"tape, magnetic, magnetic tape, drive, tape drive, optical, jukebox, optical disk, backup, storage"
59,"weak entity, weak, weak entity set, entity, entity set, weak entity type, identifying, identifying relationship, entity type, strong entity"
60,"twophase locking, twophase, locking, locking protocol, twophase locking protocol, protocol, lock, rigorous, strict, strict twophase locking"
61,"query tree, transformation, tree, rewrite, query, select operation, rule, transformed, heuristic, query transformation"
62,"node, lock, mode, locked, lock node, exclusive, node locked, exclusive mode, parent, root"
63,"cluster, clustering, distance, clustering algorithm, centroid, radius, birch, cluster record, hierarchical clustering, algorithm"
64,"precedence, precedence graph, graph, edge, cycle, graph schedule, precedence graph schedule, schedule, edge precedence, edge precedence graph"
65,"section section, section section section, section, section saw, saw, section section saw, saw section section, section saw section, section seen section, section seen"
66,"atomicity, durability, consistency, property, atomicity durability, transaction atomicity, database consistency, consistent, atomicity property, durability property"
67,"employee, department, worksfor, department employee, employee department, employee work, foreign key, foreign, relationship, relationship type"
68,"coordinator, site, ready, new coordinator, message, failed, coordinator fails, ready message, abort, participant"
69,"ontology, semantic, knowledge, concept, knowledge representation, synonym, semantic web, semantic data, wordnet, terminology"
70,"uml, diagram, uml class diagram, uml class, class diagram, uml diagram, notation, modeling, class, diagram uml"
71,"node, searchkey value, searchkey, pointer, leaf, search key, leaf node, search, node searchkey, value"
72,"client, client server, tier, architecture, server, client server architecture, server architecture, tier client server, tier client, machine"
73,"aborted, abort, transaction aborted, transaction, failure, abort transaction, subtransaction, transaction abort, error, committed aborted"
74,"union, intersection, union intersection, operation union, set difference, compatible, union compatible, set operation, difference, union operation"
75,"parallel, parallel database, parallel database system, architecture, database system, parallel architecture, system, machine, architecture database, teradata"
76,"relation schema, schema, set relation, set relation schema, relation, relational schema, design, schema containing attribute, schema containing, relational"
77,"flight, seat, reservation, airline, airport, traveler, seat selection, flight number, city, airline reservation"
78,"domain, atomic, domain attribute, atomic domain, attribute atomic, domain atomic, attribute domain, value domain, nonatomic, attribute atomic domain"
79,"semistructured, unstructured, structured, unstructured data, semistructured data, extraction, information extraction, document, structured data, structured semistructured"
80,"algorithm, algorithm figure, apply algorithm, algorithm apply, algorithm apply algorithm, compute, pseudocode, algorithm work, applying algorithm, applying algorithm apply"
81,"insertion, deletion, insertion deletion, insert, delete, select statement, rejected, delete operation, need consider, straightforward"
82,"composite, multivalued, composite attribute, multivalued attribute, attribute, attribute composite, single valued, derived attribute, composite multivalued, component attribute"
83,"flash, flash memory, flash storage, magnetic disk, magnetic, memory, storage, erase, nand flash, nand"
84,"book, member, borrowed, librarian, member borrowed, isbn, borrowed book, member borrowed book, book published, title"
85,"failure, type failure, site, distributed, failure site, continue, failed site, link, failed, communication link"
86,"ssn, superssn, sex, ssn bdate address, ssn bdate, salary superssn, bdate address, bdate address sex, salary superssn dno, bdate"
