Bucket Number,Bucket
-1,"process, page, memory, user, thread, file, data, operating, disk, time"
0,"cache, caching, cached, buffer cache, cache manager, cache line, cache block, page cache, cache file, block cache"
1,"interrupt, interrupt handler, handler, interrupt vector, vector, interrupt interrupt, interrupt controller, routine, controller, interrupt request"
2,"window, win, api, window window, version window, microsoft, win api, vista, apis, version"
3,"deadlock, deadlocked, deadlock occur, resource deadlock, deadlock detection, resource, detection, occur, deadlock deadlock, deadlock possible"
4,"block, block file, free block, file block, disk block, block size, free, indirect block, index block, block block"
5,"driver, device driver, device, driver object, driver device, window driver, device object, wdm, driver device driver, driver run"
6,"virtualization, virtual machine, machine, virtual, virtualized, hardware, support virtualization, environment, virtualbox, support"
7,"security, attack, attacker, vulnerability, defense, exploit, security chap, bug, exploiting, intruder"
8,"resource, available resource, resource process, release resource, resource available, instance resource, resource type, resource resource, available, number resource"
9,"boot, partition, boot time, loader, bootstrap, boot loader, bios, booting, boot process, firmware"
10,"virus, antivirus, infect, infected, antivirus program, antivirus software, virus virus, program virus, infection, executable"
11,"key, encryption, cryptography, decryption, public key, encryption algorithm, public, cipher, ciphertext, plaintext"
12,"buffer, buffering, copy, copying, kernel buffer, buffer buffer, copy write, user space, function copy, data"
13,"power, battery, energy, power management, consumption, power consumption, power manager, management, battery life, mobile"
14,"tlb, miss, tlb entry, tlb miss, tlbs, entry, entry tlb, translation, number tlb, hit"
15,"password, password file, salt, encrypted password, onetime password, onetime, encrypted, login, etcpasswd, stored password"
16,"nevilleneil, saltzer, ellen, herlihy, kurose, brinchhansen, hruby, zhang, robbins, smith"
17,"offset, page number, page table, page, address, virtual address, page directory, page offset, physical address, table"
18,"printer, print, output, printed, spooling, plotter, printing, spooler, daemon, devlp"
19,"mutex, pthread mutex, pthread, mutex lock, lock, mutex pthread, unlock, lock mutex, mutex unlock, mutexes"
20,"semaphore, sem, semaphore semaphore, value semaphore, semaphore operation, value, semaphore value, wait, wait signal, operation"
21,"operating system, operating, system, embedded system, system operating, embedded, system operating system, operating system operating, system work, system vary"
22,"raid, raid level, level, drive, level raid, parity, raid level raid, level raid level, array, raid set"
23,"overflow, attacker, attack, buffer overflow, return address, aslr, canary, buffer, randomization, code"
24,"memory management, management, memory management chap, management chap, memory, management chap memory, chap memory, chap memory management, memory memory, chap"
25,"problem, solution, solution problem, solved, problem solved, approach, exercise, solution exercise, solve, modify solution exercise"
26,"bit, bit bit, bit word, integer, bit count, word, count, bit set, unsigned, bit byte"
27,"nfs, nfs protocol, nfs server, network file, nfs version, protocol, file nfs, remote, cifs, remote file"
28,"producer, consumer, item, buffer, producer consumer, item buffer, count, remove, remove item, consumer process"
29,"fork, child, exec, process fork, parent, new process, shell, child process, fork process, fork exec"
30,"tape, tape drive, card, card reader, magnetic tape, magnetic, drive, bluray, reader, line printer"
31,"open, open file, opened, close, file opened, open close, file, process open, process open file, file descriptor"
32,"inode, inode number, inodes, file inode, directory, file inode number, number, inode structure, unix inode, usrast"
33,"virtual memory, virtual, memory, memory virtual, memory virtual memory, physical memory, memory management, chapter virtual memory, virtual memory management, management"
34,"quantum, time quantum, time, millisecond, msec, quantum millisecond, quantum expires, quantum process, quantum time, expires"
35,"mobile, io, mobile device, smartphones, tablet, macos, phone, macos io, apple, desktop"
36,"shared memory, sharedmemory, shared, sharedmemory object, share memory, memory shared, memory, share, cpu private, private"
37,"bsd, freebsd, bsd unix, mach, berkeley, bsd kernel, bsd bsd, unix, implementation freebsd, freebsd unix"
38,"dma, dma controller, controller, transfer, dma transfer, dma channel, dma chip, bus, channel, device controller"
39,"instruction, instruction set, privileged, sensitive, privileged instruction, sensitive instruction, execute, instruction execute, instruction pointed, different instruction"
40,"memorymapped, memorymapped file, mapped, mapped file, mapping, map file, map, memory memorymapped, memory mapping, process map"
41,"pagereplacement, replacement, pagereplacement algorithm, page replacement, algorithm, replacement algorithm, lru, page replacement algorithm, fifo, optimal"
42,"vmware, vmware workstation, esx, workstation, esx server, host operating, vmx, host, study vmware, vmwares"
43,"physical address, address, logical address, logical, physical, virtual address, address logical address, address physical address, address logical, address physical"
44,"clock, timer, tick, clock tick, watchdog, clock timer, time signal, clock driver, expiration, programmable"
45,"userlevel thread, userlevel, kernel thread, kernellevel, kernellevel thread, thread, thread kernel, thread user, user thread, kernel"
46,"parallelism, parallel, core, concurrency, run parallel, multicore, task parallelism, concurrent, data parallelism, computing core"
47,"priority, priority thread, thread priority, priority class, boost, class, thread, highest, relative priority, base priority"
48,"fault, page fault, page, fault occurs, page fault occurs, occurs, instruction, fault occur, soft fault, minor"
49,"owner, group, owner group, protection, access, access file, permission, access control, file, file protection"
50,"signal, signal handler, signal sent, process group, handler, signalhandling, signal sent process, kill, signal process, sent process"
51,"pool, thread pool, executor, java, thread, runnable, executorservice, java thread, chapter thread concurrency, thread concurrency"
52,"protocol, tcpip, layer, protocol stack, osi, network protocol, networking, network, transport, networking protocol"
53,"bitmap, free, allocation unit, free block, bitmap free, bitblt, free list, bitmap bitmap, list bitmap, block"
54,"sleep, wake, wakeup, wake lock, awakened, sleep wakeup, waiting bit, wakeup waiting bit, wakeup waiting, event"
55,"vmm, guest, vmms, guest guest, guest guest guest, guest vmm, balloon, host, virtual machine, vmm virtual machine"
56,"executable, header file, header, executable file, source file, object file, source, binary, file executable, code file"
57,"rpc, remote procedure, stub, procedure, remote, rpcs, client, client stub, remote procedure call, procedure client"
58,"cylinder, head, arm, request cylinder, seek, rpm, rotate, request, direction, pending request"
59,"email, camera, email application, picture, camera application, composeactivity, app process, app, activityrecord, example email"
60,"shell, command, command interpreter, interpreter, commandline, shell command, bash, commandline interface, shell script, bourne"
61,"resource, thread request, resource thread, thread request resource, request resource, resource type, instance resource, thread, instance resource type, allocated thread"
62,"remote, remote file, ftp, client, remote file access, transfer file, transfer, transfer protocol, access remote, file client"
63,"nvm, nvm device, nonvolatile, flash, nonvolatile memory, storage, device, flash memory, hdds, nonvolatile memory device"
64,"backup, dump, incremental, restore, dumping, backup medium, incremental dump, backup program, restored, incremental backup"
65,"link, symbolic link, symbolic, hard link, hard, linking, directory, link file, directory entry, directory hard link"
66,"error, error condition, exception, error checking, reporting, error code, error reporting, status, condition error, possible error"
67,"file system, filesystem, filesystem implementation, multiple file, system, multiple file system, implementation, virtual file, fuse, system file"
68,"scheduling algorithm, scheduling, algorithm, scheduler, algorithm schedule, schedule, different scheduling, circumstance scheduling, algorithm goal, operation scheduler"
69,"client, server, client server, clientserver, web, clientserver model, web server, client client, single machine, machine client"
70,"unix, unix system, unix system work, system work like, version unix, popularity, unix world, unix software, feature unix, design"
71,"module, kernel module, symbol, module loaded, kernel, loadable, loading, loaded, dmesg, module entry"
72,"line, esc, escape, line feed, character, escape sequence, carriage return, carriage, feed, cursor"
73,"sec, sec sec, sec study, sec operating, sec case, call sec, case sec, result sec, implemented sec, sec system"
74,"algorithm, set algorithm, algorithm algorithm, algorithm work, selecting algorithm, working set algorithm, optimal, working set, algorithm use, algorithm set algorithm"
75,"openfile table, openfile, table, quota, open, table file, systemwide, open file, systemwide openfile, systemwide openfile table"
76,"child, parent, wait, exit, wait child, parent process, child process, zombie, exit status, waitpid"
77,"domain, domain domain, executing domain, process executing domain, object domain, process executing, right, access right, domain switch, switch domain"
78,"multicore, core, chip, multicore chip, multiprocessor, multicore system, multicores, manycore, chip multicore, core multicore"
79,"mode, kernel mode, user mode, mode kernel, mode kernel mode, privileged, user mode kernel, mode user mode, mode user, kernel"
80,"matrix, access matrix, domain, accessmatrix, row, column, access, matrix object, matrix row, row domain"
81,"mft, mft record, record, attribute, fit mft record, fit mft, mft entry, mft file, base record, record mft"
82,"priority, higher, scheduling, priority process, higher priority, process priority, lower priority, task assigned, priority scheduling, highest"
83,"semaphore, mutex, mutex lock semaphore, lock semaphore, mutex lock, lock, semaphore mutex, mutexes, binary semaphore, semaphore mutexes"
84,"sequential, position, position file, read, current position, random access, read write, access file, sequentially, file read"
85,"binding, job, time, run time, job hour, short job, hour, shortest, binding time, long job"
86,"file size, size, maximum size, file smaller, file, maximum, size file, maximum file, large, final size"
87,"hash, hash table, hash function, hashed, sha, table, hash value, entry hash, hashing, hashed page"
88,"priority, priority class, class, nice value, nice, priority inversion, inversion, normal, normal priority, priority class priority"
89,"synchronization, statei, synchronization primitive, java, synchronization mechanism, synchronization tool, primitive, traditional synchronization, sync, monitor"
90,"page size, size, larger page, larger page size, page, size page, small page size, small page, larger, page size linux"
91,"page table, guest, shadow page, shadow, shadow page table, hypervisor, table, page, nested, physical page"
92,"card, smart card, smart, credit, money, bank, account, telephone, credit card, reader"
93,"queue, ready queue, ready, process queue, queue process, tail, pcb, wait queue, new process, queue pcb"
94,"lock, release lock, locking, try, clause, release, acquire, acquire lock, lock process, lock released"
95,"touch, screen, finger, touch screen, multitouch, capacitive, resistive, finger screen, touchscreen interface, touchscreen"
96,"struct, task struct, task, handle, handle handle, struct task, handle handle handle, handletable, struct task struct, objectb"
97,"android, google, google play, proprietary, development, platform, play, development android, android google, cloudtodevice"
98,"assembly, assembly language, language, million, million line, line code, written assembly, compiler, million line code, written assembly language"
99,"path, working directory, absolute, absolute path, path name, directory, relative path, relative, current directory, working"
100,"exist, possibility, possibility exist, big deal, told friend, exist explain, told, true wait, explain answer, explain"
101,"compression, compressed, deduplication, compression algorithm, ntfs, compress, uncompressed, file compression, compression unit, compressed file"
102,"cloud, cloud computing, computing, docker, iaa, data center, amazon, software service, center, virtualization"
103,"utilization, cpu utilization, utilization percent, percent, cpu, degree, cpu utilization percent, utilization cpu, increase cpu, increase cpu utilization"
104,"termination, termination process, terminate, exit, terminate process, terminated, process termination, creation termination, process terminate, creation termination process"
105,"slab, allocator, slab allocator, kernel memory, slab allocation, contiguous page, contiguous, physically contiguous, allocating kernel, allocating kernel memory"
